Index,Word,Part of Speech,Definition,Sentence
292,"Yoke","verb","use (oxen) to draw a load","Yoke your cattle to the plow."
293,"Zest","noun","great enthusiasm and energy","She performed with zest."
294,"Adept","adjective","very skilled or proficient at something","She's very adept at dealing with the media."
295,"Bellicose","adjective","demonstrating aggression and willingness to fight","His bellicose behavior concerned authorities."
296,"Cynical","adjective","believing that people are motivated purely by self-interest; distrustful of human sincerity or integrity","He was bitterly cynical and pessimistic."
297,"Dearth","noun","a scarcity or lack of something","There is a dearth of evidence."
298,"Ebullient","adjective","cheerful and full of energy","She was ebullient and full of life."
299,"Fidelity","noun","faithfulness to a person, cause, or belief, demonstrated by continuing loyalty and support","She showed her fidelity to the cause."
300,"Genteel","adjective","polite, refined, or respectable, often in an affected or ostentatious way","A genteel old lady sat on the bench."
301,"Hapless","adjective","unfortunate","The hapless sailor was lost at sea."
302,"Impetuous","adjective","acting or done quickly and without thought or care","Her friend was impetuous and often got into trouble."
303,"Jeopardize","verb","put (someone or something) into a situation in which there is a risk of loss, harm, or failure","A devaluation of the dollar would jeopardize the nation's economic recovery."
304,"Kowtow","verb","act in an excessively subservient manner","She refused to kowtow to the manager."
305,"Lament","verb","express one's deep grief about","She lamented over the loss of her best friend."
306,"Misanthrope","noun","a person who dislikes humankind and avoids human society","A brilliant artist but a known misanthrope, he avoided public gatherings."
307,"Nefarious","adjective","wicked or criminal","The nefarious activities of the organized crime syndicates."
308,"Ostentatious","adjective","characterized by vulgar or pretentious display; designed to impress or attract notice","He was a man of ostentatious wealth."
309,"Pervasive","adjective","spreading widely throughout an area or a group of people","Ageism is pervasive and entrenched in our society."
310,"Quandary","noun","a state of perplexity or uncertainty over what to do in a difficult situation","She was in a quandary about whether to go or stay."
311,"Reverberate","verb","(of a loud noise) be repeated several times as an echo","Her deep booming laugh reverberated around the room."
312,"Sardonic","adjective","grimly mocking or cynical","He gave a sardonic smile."
313,"Temerity","noun","excessive confidence or boldness; audacity","No one had the temerity to question his conclusions."
314,"Unprecedented","adjective","never done or known before","The government took the unprecedented step of releasing confidential correspondence."
315,"Vex","verb","make (someone) feel annoyed, frustrated, or worried, especially with trivial matters","The memory of the conversation still vexed him."
316,"Wistful","adjective","having or showing a feeling of vague or regretful longing","He gave a wistful smile."
317,"Xenophobic","adjective","having or showing a dislike of or prejudice against people from other countries","The politician made xenophobic statements."
318,"Yearn","verb","have an intense feeling of longing for something, typically something that one has lost or been separated from","She yearned for a glimpse of him."
319,"Zephyr","noun","a soft gentle breeze","The zephyr from the ocean made the hot day bearable."
320,"Acrimony","noun","bitterness or ill feeling","The acrimony of the divorce proceedings surprised their friends."
321,"Blasphemy","noun","the act or offense of speaking sacrilegiously about God or sacred things","He was detained on charges of blasphemy."
322,"Cacophony","noun","a harsh discordant mixture of sounds","A cacophony of deafening alarm bells."
323,"Decadence","noun","moral or cultural decline as characterized by excessive indulgence in pleasure or luxury","The decadence of the late Roman Empire."
324,"Eccentric","adjective","(of a person or their behavior) unconventional and slightly strange","My eccentric aunt had a fascination with tropical birds."
325,"Flippant","adjective","not showing a serious or respectful attitude","A flippant remark about the accident offended her."
326,"Gregarious","adjective","fond of company; sociable","He was a popular and gregarious man."
327,"Harbinger","noun","a person or thing that announces or signals the approach of another","Witch hazels are the harbingers of spring."
328,"Idiosyncrasy","noun","a mode of behavior or way of thought peculiar to an individual","One of his idiosyncrasies was always preferring to be in the car first."
329,"Jubilant","adjective","feeling or expressing great happiness and triumph","The jubilant crowd cheered the team."
330,"Kaleidoscope","noun","a toy consisting of a tube containing mirrors and pieces of colored glass or paper, whose reflections produce changing patterns","The kaleidoscope of colors was mesmerizing."
331,"Lethargic","adjective","affected by lethargy; sluggish and apathetic","I felt tired and a little lethargic."
332,"Meticulous","adjective","showing great attention to detail; very careful and precise","The designs are hand-glazed with meticulous care."
333,"Nostalgia","noun","a sentimental longing or wistful affection for the past","I was overcome with acute nostalgia for my days in college."
334,"Ornery","adjective","bad-tempered and combative","The ornery old man shouted at the kids playing in his yard."
335,"Perfunctory","adjective","(of an action or gesture) carried out with a minimum of effort or reflection","He gave a perfunctory nod."
336,"Quagmire","noun","a soft boggy area of land that gives way underfoot","The road that was a quagmire in the spring became dusty in the summer."
337,"Ruminate","verb","think deeply about something","We ruminated on the nature of existence."
338,"Sublime","adjective","of such excellence, grandeur, or beauty as to inspire great admiration or awe","The sublime beauty of the Grand Canyon."
339,"Truculent","adjective","eager or quick to argue or fight; aggressively defiant","His days of truculent defiance were over."
340,"Ubiquitous","adjective","present, appearing, or found everywhere","Her ubiquitous influence was felt by all the family."
341,"Voracious","adjective","wanting or devouring great quantities of food","He had a voracious appetite."
342,"Wistful","adjective","having or showing a feeling of vague or regretful longing","A wistful smile."
343,"Xeric","adjective","characterized by or adapted to an extremely dry habitat","Xeric plants are often used in desert landscaping."
344,"Yokel","noun","an uneducated and unsophisticated person from the countryside","He was mocked by the city folk as a simple yokel."
345,"Zenith","noun","the time at which something is most powerful or successful","She was at the zenith of her career."
346,"Aberration","noun","a departure from what is normal, usual, or expected, typically an unwelcome one","His sudden outburst is an aberration from his normally calm demeanor."
347,"Belligerent","adjective","hostile and aggressive","He was drunk and belligerent."
348,"Capricious","adjective","given to sudden and unaccountable changes of mood or behavior","His capricious behaviour caused so much stress."
349,"Defamatory","adjective","damaging the good reputation of someone; slanderous or libelous","He claimed that the article was defamatory."
350,"Exonerate","verb","(especially of an official body) absolve (someone) from blame for a fault or wrongdoing","The court must exonerate my client."
351,"Flabbergasted","adjective","surprise (someone) greatly; astonish","This news has left me flabbergasted."
352,"Gallivant","verb","go around from one place to another in the pursuit of pleasure or entertainment","She quit her job to gallivant around the globe."
353,"Hypothetical","adjective","of, based on, or serving as a hypothesis","The hypothetical case study was very illustrative."
354,"Incessant","adjective","(of something regarded as unpleasant) continuing without pause or interruption","The incessant noise kept me awake."
355,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos were juxtaposed with color images."
356,"Knavery","noun","dishonest or unscrupulous conduct","The knavery of the con artist was shocking."
357,"Luscious","adjective","having a pleasingly rich, sweet taste","A luscious and fragrant dessert wine."
358,"Mirth","noun","amusement, especially as expressed in laughter","His clumsy attempt to catch the glass evoked mirth among the spectators."
359,"Nemesis","noun","the inescapable agent of someone's or something's downfall","The balance beam was her nemesis, as she fell off time and again."
360,"Obfuscate","verb","render obscure, unclear, or unintelligible","The spelling changes will deform some familiar words and obfuscate their etymological origins."
361,"Paradox","noun","a seemingly absurd or self-contradictory statement or proposition that when investigated or explained may prove to be well founded or true","It's a paradox that in such a rich country there can be so much poverty."
362,"Quintessential","adjective","representing the most perfect or typical example of a quality or class","He was the quintessential tough guy—strong, silent, and self-reliant."
363,"Raucous","adjective","making or constituting a disturbingly harsh and loud noise","The raucous crowd disturbed the peaceful event."
364,"Serendipity","noun","the occurrence and development of events by chance in a happy or beneficial way","A fortunate stroke of serendipity."
365,"Tantamount","adjective","equivalent in seriousness to; virtually the same as","The resignations were tantamount to an admission of guilt."
366,"Ubiquitous","adjective","present, appearing, or found everywhere","Coffee shops are ubiquitous in the city."
367,"Vacillate","verb","alternate or waver between different opinions or actions; be indecisive","She vacillated between teaching and acting."
368,"Wheedle","verb","use endearments or flattery to persuade someone to do something or give one something","She tried to wheedle my father into letting her borrow the car."
369,"Xenolith","noun","a rock fragment which becomes enveloped in a larger rock during the latter's development and hardening","An example of a xenolith is a piece of country rock that fell into a magma chamber as the magma was still crystallizing."
370,"Yammer","verb","make a loud repetitive noise","He was yammering on about political conspiracies."
371,"Zephyr","noun","a soft gentle breeze","The morning zephyr cooled us."
372,"Accolade","noun","an award or privilege granted as a special honor or as an acknowledgement of merit","The ultimate official accolade of a visit by the president."
373,"Brouhaha","noun","a noisy and overexcited reaction or response to something","A brouhaha broke out in the auditorium."
374,"Cajole","verb","persuade someone to do something by sustained coaxing or flattery","She cajoled him into accompanying her."
375,"Dalliance","noun","a casual romantic or sexual relationship","Brief dalliances with the pop industry."
376,"Elocution","noun","the skill of clear and expressive speech, especially of distinct pronunciation and articulation","A private elocution tutor."
377,"Fiasco","noun","a thing that is a complete failure, especially in a ludicrous or humiliating way","His plans turned into a fiasco."
378,"Gregarious","adjective","fond of company; sociable","He was a popular and gregarious man."
379,"Harbinger","noun","a person or thing that announces or signals the approach of another","Witch hazels are the harbinger of spring."
380,"Idiosyncratic","adjective","relating to idiosyncrasy; peculiar or individual","She emerged as one of the great idiosyncratic talents of the Nineties."
381,"Jettison","verb","throw or drop (something) from an aircraft or ship","Six aircraft jettisoned their loads in the sea."
382,"Knell","noun","the sound of a bell, especially when rung solemnly for a death or funeral","The knell of parting day."
383,"Labyrinth","noun","a complicated irregular network of passages or paths in which it is difficult to find one's way; a maze","A labyrinth of passages and secret chambers."
384,"Machiavellian","adjective","cunning, scheming, and unscrupulous, especially in politics or in advancing one's career","A whole range of outrageous Machiavellian manoeuvres."
385,"Nostalgic","adjective","characterized by or exhibiting feelings of nostalgia","A nostalgic look back at the fashions of the Sixties."
386,"Obstreperous","adjective","noisy and difficult to control","The boy is cocky and obstreperous."
387,"Palpable","adjective","able to be touched or felt","The palpable bump at the bridge of the nose."
388,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","A vast and perhaps quixotic project."
389,"Rancorous","adjective","characterized by bitterness or resentment","Sixteen miserable months of rancorous disputes."
390,"Salubrious","adjective","health-giving; healthy","Salubrious weather."
391,"Taciturn","adjective","(of a person) reserved or uncommunicative in speech; saying little","After such gatherings she would be taciturn and morose."
392,"Ubiquitous","adjective","present, appearing, or found everywhere","His ubiquitous influence was felt by all the family."
393,"Vapid","adjective","offering nothing that is stimulating or challenging","Tuneful but vapid musical comedies."
394,"Whimsical","adjective","playfully quaint or fanciful, especially in an appealing and amusing way","A whimsical sense of humor."
395,"Xenophobia","noun","dislike of or prejudice against people from other countries","The resurgence of racism and xenophobia."
396,"Yawning","adjective","ostentatiously wide; vast","A yawning chasm of a generation."
397,"Zealous","adjective","having or showing zeal","The council was extremely zealous in the application of the regulations."
398,"Abrogate","verb","repeal or do away with (a law, right, or formal agreement)","A proposal to abrogate temporarily the right to strike."
399,"Balk","verb","hesitate or be unwilling to accept an idea or undertaking","He balked at such a drastic solution."
400,"Calamitous","adjective","involving calamity; catastrophic or disastrous","A calamitous defeat."
401,"Deciduous","adjective","(of a tree or shrub) shedding its leaves annually","Deciduous trees."
402,"Ebullient","adjective","cheerful and full of energy","She sounded ebullient and happy."
403,"Furtive","adjective","attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble; secretive","They spent a furtive day together."
404,"Guffaw","noun","a loud and boisterous laugh","The joke was met with guffaws of laughter."
405,"Harrowing","adjective","acutely distressing","A harrowing film about racism and violence."
406,"Impeccable","adjective","(of behavior, performance, or appearance) in accordance with the highest standards of propriety; faultless","A man of impeccable character."
407,"Jocular","adjective","fond of or characterized by joking; humorous or playful","She sounded in a jocular mood."
408,"Kowtow","verb","act in an excessively subservient manner","She didn't have to kowtow to a boss."
409,"Laudatory","adjective","expressing praise and commendation","Laudatory comments about his performance."
410,"Misanthropic","adjective","disliking humankind and avoiding human society","A misanthropic outlook on life."
411,"Nefarious","adjective","(typically of an action or activity) wicked or criminal","The nefarious activities of the organized-crime syndicates."
412,"Obdurate","adjective","stubbornly refusing to change one's opinion or course of action","I argued this point with him, but he was obdurate."
413,"Pacify","verb","quell the anger, agitation, or excitement of","He had to pacify angry spectators."
414,"Quandary","noun","a state of perplexity or uncertainty over what to do in a difficult situation","Kate was in a quandary."
415,"Recalcitrant","adjective","having an obstinately uncooperative attitude toward authority or discipline","A class of recalcitrant fifteen-year-olds."
416,"Sardonic","adjective","grimly mocking or cynical","Starkey attempted a sardonic smile."
417,"Tautology","noun","the saying of the same thing twice in different words, generally considered to be a fault of style (e.g., they arrived one after the other in succession)","This is a tautology since 'mental' and 'psychological' mean the same thing."
418,"Unctuous","adjective","excessively or ingratiatingly flattering; oily","He seemed anxious to please but not in an unctuous way."
419,"Vacuous","adjective","having or showing a lack of thought or intelligence; mindless","A vacuous smile."
420,"Wistful","adjective","having or showing a feeling of vague or regretful longing","She gave me a wistful smile."
421,"Xylophone","noun","a musical instrument in the percussion family that consists of wooden bars struck by mallets","She plays the xylophone in the school band."
422,"Yaw","verb","(of a moving ship or aircraft) twist or oscillate about a vertical axis","The jet yawed sharply to the right."
423,"Zeitgeist","noun","the defining spirit or mood of a particular period of history as shown by the ideas and beliefs of the time","The zeitgeist of the mid 1960s was one of social and political change."
424,"Abstemious","adjective","not self-indulgent, especially when eating and drinking","We only had a bottle of wine and were abstemious."
425,"Bellicose","adjective","demonstrating aggression and willingness to fight","A group of bellicose patriots."
426,"Cavil","verb","make petty or unnecessary objections","They caviled at the cost."
427,"Demure","adjective","(of a woman or her behavior) reserved, modest, and shy","A demure little wife who sits at home minding the house."
428,"Effusive","adjective","expressing feelings of gratitude, pleasure, or approval in an unrestrained or heartfelt manner","An effusive welcome."
429,"Furtive","adjective","attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble; secretive","They spent a furtive day together."
430,"Gregarious","adjective","(of a person) fond of company; sociable","He was a popular and gregarious man."
431,"Hapless","adjective","(especially of a person) unfortunate","The hapless victims of the disaster."
432,"Imperturbable","adjective","unable to be upset or excited; calm","An imperturbable tranquility."
433,"Jejune","adjective","naive, simplistic, and superficial","Their entirely predictable and usually jejune opinions."
434,"Kiln","noun","a furnace or oven for burning, baking, or drying, especially one for firing pottery, calcining limestone, or baking bricks","He built a new kiln to make his pots."
435,"Limpid","adjective","(of a liquid) free of anything that darkens; completely clear","Sunscreens that do not block enough of the type of UV radiation known as 'UVA' will be required to carry a warning on the label starting next summer, according to proposed health regulations."
436,"Mendacious","adjective","not telling the truth; lying","Mendacious propaganda."
437,"Nascent","adjective","(especially of a process or organization) just coming into existence and beginning to display signs of future potential","The nascent space industry."
438,"Oblique","adjective","neither parallel nor at a right angle to a specified or implied line; slanting","We sat on the settee oblique to the fireplace."
439,"Paradigm","noun","a typical example or pattern of something; a model","The war was a paradigm of the destructive side of human nature."
440,"Quell","verb","put an end to (a rebellion or other disorder), typically by the use of force","Extra police were called to quell the disturbance."
441,"Reclusive","adjective","avoiding the company of other people; solitary","He led a reclusive life."
442,"Salubrious","adjective","health-giving; healthy","Salubrious weather."
443,"Trepidation","noun","a feeling of fear or agitation about something that may happen","He sat in trepidation waiting for the medical report."
444,"Unfathomable","adjective","incapable of being fully explored or understood","She had a strange, unfathomable look in her eyes."
445,"Vex","verb","make (someone) feel annoyed, frustrated, or worried, especially with trivial matters","The memory of the conversation still vexed him."
446,"Wan","adjective","(of a person's complexion or appearance) pale and giving the impression of illness or exhaustion","She was looking wan and bleary-eyed."
447,"Xeric","adjective","characterized by, relating to, or requiring only a small amount of moisture","Xeric habitats such as deserts and semi-deserts."
448,"Yoke","noun","a wooden crosspiece that is fastened over the necks of two animals and attached to the plow or cart that they are to pull","The oxen were harnessed in a yoke."
449,"Zephyr","noun","a soft gentle breeze","The gentle zephyr cooled us on the hot summer day."
450,"Abhor","verb","regard with disgust and hatred","Professional tax preparers abhor a flat tax because it would dry up their business."
451,"Bedlam","noun","a scene of uproar and confusion","There was complete bedlam when the final goal was scored."
452,"Capricious","adjective","given to sudden and unaccountable changes of mood or behavior","He was capricious, prone to sudden mood swings."
453,"Dissuade","verb","persuade (someone) not to take a particular course of action","His friends tried to dissuade him from leaving."
454,"Esoteric","adjective","intended for or likely to be understood by only a small number of people with a specialized knowledge or interest","Esoteric philosophical debates."
455,"Forlorn","adjective","pitifully sad and abandoned or lonely","Forlorn figures at bus stops."
456,"Garrulous","adjective","excessively talkative, especially on trivial matters","A garrulous cab driver."
457,"Halcyon","adjective","denoting a period of time in the past that was idyllically happy and peaceful","The halcyon days of the mid-1980s, when profits were soaring."
458,"Ineffable","adjective","too great or extreme to be expressed or described in words","The ineffable natural beauty of the Everglades."
459,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos were juxtaposed with color images."
460,"Kinetic","adjective","relating to or resulting from motion","The kinetic energy of the falling body."
461,"Loquacious","adjective","tending to talk a great deal; talkative","A loquacious dinner guest."
462,"Mollify","verb","appease the anger or anxiety of (someone)","Nature reserves were set up around the power stations to mollify local conservationists."
463,"Nadir","noun","the lowest point in the fortunes of a person or organization","They had reached the nadir of their sufferings."
464,"Obsequious","adjective","obedient or attentive to an excessive or servile degree","They were served by obsequious waiters."
465,"Paragon","noun","a person or thing regarded as a perfect example of a particular quality","It would have taken a paragon of virtue not to feel viciously jealous."
466,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","A vast and perhaps quixotic project."
467,"Reticent","adjective","not revealing one's thoughts or feelings readily","She was extremely reticent about her personal affairs."
468,"Sanguine","adjective","optimistic or positive, especially in an apparently bad or difficult situation","He is sanguine about prospects for the global economy."
469,"Tumultuous","adjective","making a loud, confused noise; uproarious","Tumultuous applause."
470,"Unobtrusive","adjective","not conspicuous or attracting attention","The service was unobtrusive and efficient."
471,"Veracity","noun","conformity to facts; accuracy","Officials expressed doubts concerning the veracity of the story."
472,"Wheedle","verb","employ endearments or flattery to persuade someone to do something or give one something","She wheedled her way into the job."
473,"Xenolith","noun","a rock fragment which becomes enveloped in a larger rock during the latter's development and solidification","Xenoliths can be invaluable to geologists as they can provide information about the rock layers deep beneath Earth's surface."
474,"Yen","noun","a longing or yearning","He had a yen to get back into the thick of things."
475,"Zenith","noun","the time at which something is most powerful or successful","Under Justinian, the Byzantine Empire reached its zenith of influence."
476,"Austere","adjective","severe or strict in manner, attitude, or appearance","An austere man, with a rigidly puritanical outlook."
477,"Blithe","adjective","showing a casual and cheerful indifference considered to be callous or improper","A blithe disregard for the rules of the road."
478,"Choleric","adjective","bad-tempered or irritable","A choleric and irascible character."
479,"Dolt","noun","a stupid person","Don't be such a dolt!"
480,"Efficacy","noun","the ability to produce a desired or intended result","There is little information on the efficacy of this treatment."
481,"Fecund","adjective","producing or capable of producing an abundance of offspring or new growth; fertile","The fecund world of his imagination."
482,"Glutton","noun","an excessively greedy eater","A glutton for punishment."
483,"Harangue","noun","a lengthy and aggressive speech","They endured a long harangue about the evils of sin."
484,"Inert","adjective","lacking the ability or strength to move","She lay inert in her bed."
485,"Jovial","adjective","cheerful and friendly","She was in a jovial mood."
486,"Knell","noun","the sound of a bell, especially when rung solemnly for a death or funeral","The knell of parting day."
487,"Lethargic","adjective","affected by lethargy; sluggish and apathetic","I felt tired and a little lethargic."
488,"Misanthrope","noun","a person who dislikes humankind and avoids human society","I am not a misanthrope but a defender of the human race."
489,"Nebulous","adjective","in the form of a cloud or haze; hazy","A giant nebulous glow."
490,"Obtuse","adjective","annoyingly insensitive or slow to understand","He wondered if the doctor was being deliberately obtuse."
491,"Pallid","adjective","(of a person's face) pale, typically because of poor health","She looked pale and interesting, not pallid and sick."
492,"Quagmire","noun","a soft boggy area of land that gives way underfoot","Torrential rain turned the building site into a quagmire."
493,"Reverie","noun","a state of being pleasantly lost in one's thoughts; a daydream","A knock on the door broke her reverie."
494,"Saccharine","adjective","excessively sweet or sentimental","Saccharine music playing in the background."
495,"Truculent","adjective","eager or quick to argue or fight; aggressively defiant","His days of truculent defiance were over."
496,"Ubiquitous","adjective","present, appearing, or found everywhere","His ubiquitous influence was felt by all the family."
497,"Vicissitude","noun","a change of circumstances or fortune, typically one that is unwelcome or unpleasant","The vicissitudes of daily life."
498,"Wry","adjective","using or expressing dry, especially mocking, humor","A wry smile."
499,"Xenophobic","adjective","having or showing a dislike of or prejudice against people from other countries","They are not xenophobic or racist."
500,"Yore","noun","of long ago or former times (used in nostalgic or mock-nostalgic recollection)","Days of yore."
501,"Zealous","adjective","having or showing zeal","The council was extremely zealous in the application of the regulations."
502,"Abscond","verb","leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action such as theft","She absconded with the remaining thousand dollars."
503,"Bellicose","adjective","demonstrating aggression and willingness to fight","His bellicose behavior concerned authorities."
504,"Cajole","verb","persuade someone to do something by sustained coaxing or flattery","He cajoled her into selling the house."
505,"Derelict","adjective","in a very poor condition as a result of disuse and neglect","A derelict Georgian mansion."
506,"Embellish","verb","make (something) more attractive by the addition of decorative details or features","Blue silk that was embellished with golden embroidery."
507,"Furtive","adjective","attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble; secretive","They spent a furtive day together."
508,"Gregarious","adjective","(of a person) fond of company; sociable","He was a popular and gregarious man."
509,"Hapless","adjective","(especially of a person) unfortunate","The hapless victims of the disaster."
510,"Incognito","adjective & adverb","(of a person) having one's true identity concealed","In order to observe you have to be incognito."
511,"Juxtaposition","noun","the fact of two things being seen or placed close together with contrasting effect","The juxtaposition of these two images."
512,"Kowtow","verb","act in an excessively subservient manner","She didn't have to kowtow to a boss."
513,"Lament","verb","express one's deep grief about","She lamented the loss of their friendship."
514,"Myriad","noun","a countless or extremely great number of people or things","Myriads of insects danced around the light above my head."
515,"Nexus","noun","a connection or series of connections linking two or more things","The nexus between industry and political power."
516,"Obliterate","verb","destroy utterly; wipe out","The memory was so painful that he obliterated it from his mind."
517,"Pandemonium","noun","wild and noisy disorder or confusion; uproar","There was complete pandemonium when the goal was scored."
518,"Quell","verb","put an end to (a rebellion or other disorder), typically by the use of force","Extra police were called in to quell the disturbances."
519,"Rancor","noun","bitterness or resentfulness, especially when long-standing","He spoke without rancor."
520,"Salient","adjective","most noticeable or important","It succinctly covered all the salient points of the case."
521,"Tenacious","adjective","tending to keep a firm hold of something; clinging or adhering closely","A tenacious grip."
522,"Ungainly","adjective","(of a person or movement) awkward; clumsy","An ungainly walk."
523,"Vociferous","adjective","(especially of a person or speech) vehement or clamorous","He was a vociferous opponent of the takeover."
524,"Winsome","adjective","attractive or appealing in appearance or character","A winsome smile."
525,"Xerography","noun","a dry photocopying process in which black or colored powder adheres to parts of a surface remaining electrically charged after being exposed to light from an image of the document to be copied","Xerography has revolutionized office work."
526,"Yaw","noun","a twisting or oscillation of a moving ship or aircraft around a vertical axis","The pilot handled the yaw of the plane in the strong wind."
527,"Zeitgeist","noun","the defining spirit or mood of a particular period of history as shown by the ideas and beliefs of the time","The zeitgeist of the 1960s was one of rebellion and freedom."
528,"Abrogate","verb","repeal or do away with (a law, right, or formal agreement)","A proposal to abrogate temporarily the right to strike."
529,"Benevolent","adjective","well meaning and kindly","A benevolent smile."
530,"Calumny","noun","the making of false and defamatory statements about someone in order to damage their reputation; slander","A bitter struggle marked by calumny and litigation."
531,"Deprecate","verb","express disapproval of","He sniffed in a deprecating way."
532,"Egregious","adjective","outstandingly bad; shocking","Egregious abuses of copyright."
533,"Frivolous","adjective","not having any serious purpose or value","Frivolous gossip."
534,"Grandiose","adjective","impressive or magnificent in appearance or style, especially pretentiously so","The plans for a grandiose new city were ill-conceived."
535,"Hackneyed","adjective","lacking significance through having been overused; unoriginal and trite","Hackneyed old sayings."
536,"Impugn","verb","dispute the truth, validity, or honesty of (a statement or motive); call into question","The father does not impugn her capacity as a good mother."
537,"Jubilant","adjective","feeling or expressing great happiness and triumph","A large jubilant crowd greeted the victors."
538,"Knack","noun","an acquired or natural skill at performing a task","He had a knack for communicating."
539,"Lugubrious","adjective","looking or sounding sad and dismal","His face looked even more lugubrious than usual."
540,"Maverick","noun","an unorthodox or independent-minded person","He's the maverick of the Senate."
541,"Nimble","adjective","quick and light in movement or action; agile","With a nimble step, she avoided the loose floorboards."
542,"Obstinate","adjective","stubbornly refusing to change one's opinion or chosen course of action, despite attempts to persuade one to do so","The obstinate problem of unemployment."
543,"Palpable","adjective","able to be touched or felt","The tension was almost palpable."
544,"Querulous","adjective","complaining in a petulant or whining manner","She became querulous and demanding."
545,"Resilient","adjective","able to withstand or recover quickly from difficult conditions","The resilient economy of the country."
546,"Sardonic","adjective","grimly mocking or cynical","He gave a sardonic laugh."
547,"Taciturn","adjective","(of a person) reserved or uncommunicative in speech; saying little","After such gatherings she would be taciturn and morose."
548,"Umbrage","noun","offense or annoyance","She took umbrage at his remarks."
549,"Voracious","adjective","wanting or devouring great quantities of food; having a very eager approach to an activity","He has a voracious appetite."
550,"Wistful","adjective","having or showing a feeling of vague or regretful longing","A wistful smile."
551,"Xenogenesis","noun","generation of offspring entirely unlike the parent; the supposed generation of offspring of a different kind by a living organism","In science fiction, xenogenesis can refer to aliens bearing human children, humans bearing alien children, or any other combination of human and alien reproduction."
552,"Yield","verb","produce or provide (a natural, agricultural, or industrial product)","The land yields grapes and tobacco."
553,"Zeppelin","noun","a type of rigid airship named after the German Count Ferdinand von Zeppelin","A Zeppelin flew over the city."
554,"Absolution","noun","formal release from guilt, obligation, or punishment","The priest administered absolution."
555,"Bumptious","adjective","self-assertive or proud to an irritating degree","He was a bumptious young man."
556,"Cobble","verb","make or repair (something) roughly or hastily, especially shoes","He cobbled together a meal from leftovers."
557,"Decorous","adjective","in keeping with good taste and propriety; polite and restrained","Dancing with decorous space between partners."
558,"Epiphany","noun","a moment of sudden revelation or insight","The first epiphany came while teaching."
559,"Feckless","adjective","lacking initiative or strength of character; irresponsible","A feckless mama's boy."
560,"Gustatory","adjective","concerned with tasting or the sense of taste","Gustatory delights."
561,"Harangue","verb","lecture (someone) at length in an aggressive and critical manner","The kind of guy who could harangue poor souls on street corners."
562,"Irascible","adjective","having or showing a tendency to be easily angered","An irascible old man."
563,"Jeopardy","noun","danger of loss, harm, or failure","Your reckless behavior will put this project in jeopardy."
564,"Kaleidoscope","noun","a continually changing pattern of shapes and colors","A kaleidoscope of cultures."
565,"Lacerate","verb","tear or make deep cuts in (flesh or skin)","His face was lacerated by the glass."
566,"Maelstrom","noun","a powerful whirlpool in the sea or a river","The boat was sucked down into the maelstrom."
567,"Nebulous","adjective","in the form of a cloud or haze; hazy","A nebulous concept of freedom."
568,"Obstinate","adjective","stubbornly adhering to an attitude, opinion, or course of action; stubborn","The obstinate problem of unemployment."
569,"Pariah","noun","an outcast","They were treated as social pariahs."
570,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","A quixotic quest."
571,"Rhapsodic","adjective","extravagantly enthusiastic; ecstatic","Pete always had such a rhapsodic love for music."
572,"Surreptitious","adjective","kept secret, especially because it would not be approved of","They carried on a surreptitious affair."
573,"Truculent","adjective","eager or quick to argue or fight; aggressively defiant","His days of truculent defiance were over."
574,"Unctuous","adjective","excessively or ingratiatingly flattering; oily","A smarmy, unctuous tone of voice."
575,"Vexatious","adjective","causing or tending to cause annoyance, frustration, or worry","The vexatious questions posed by software copyrights."
576,"Wheedle","verb","employ endearments or flattery to persuade someone to do something or give one something","She wheedled her way into his heart."
577,"Xenophile","noun","an individual who is attracted to foreign peoples, cultures, or customs","As a xenophile, she had traveled all over the world."
578,"Yammer","verb","make a loud repetitive noise","She was yammering on about her trip."
579,"Zephyr","noun","a soft gentle breeze","The cool zephyr revived us."
580,"Aberration","noun","a departure from what is normal, usual, or expected, typically an unwelcome one","He described the rise in unemployment as an aberration."
581,"Bucolic","adjective","relating to the pleasant aspects of the countryside and country life","The church is in a bucolic setting."
582,"Churlish","adjective","rude in a mean-spirited and surly way","It was rather churlish of him to complain about the small donations."
583,"Dissipation","noun","squandering of money, energy, or resources","The dissipation of marital assets was a problem."
584,"Effulgence","noun","radiance; brilliance","The effulgence of the sun."
585,"Flippant","adjective","not showing a serious or respectful attitude","A flippant remark."
586,"Gallivant","verb","go around from one place to another in the pursuit of pleasure or entertainment","I quit my job to gallivant around the globe."
587,"Hedonistic","adjective","engaged in the pursuit of pleasure; sensually self-indulgent","A hedonistic existence of drink, drugs, and parties."
588,"Indolent","adjective","wanting to avoid activity or exertion; lazy","They were indolent and addicted to a life of pleasure."
589,"Jocose","adjective","playful or humorous","A jocose and amusing manner."
